batch_id,crop_type,region,season,yield_quantity_kg,moisture_content_%,avg_temperature_celsius,transport_delay_hours,equipment_downtime_hours,storage_duration_days,quality_grade,spoilage_loss_%,supply_chain_stage,resource_utilization_%,climate_risk_level,input_cost_per_kg,final_market_price_per_kg,total_input_cost,total_revenue,estimated_profit,profit_margin_%,spoilage_quantity_kg
BATCH00013,Maize,West,Kharif,611.27,14.44,21.13,1,1.9,21,A,7.8,Farm,89.32,High,5.51,13.28,"₹ 3,368.10","₹ 8,117.67","₹ 4,749.57",58.51%,47.68
BATCH00014,Barley,South,Kharif,437.07,16.34,27.39,0.8,1.2,23,C,3.01,Farm,95.64,Low,6.59,5.81,"₹ 2,880.29","₹ 2,539.38",-₹ 340.91,-13.43%,13.16
BATCH00015,Wheat,West,Rabi,653.37,13.77,30.12,1.9,0,25,A,3.45,Warehouse,74.34,Low,6.49,11.25,"₹ 4,240.37","₹ 7,350.41","₹ 3,110.04",42.31%,22.54
BATCH00016,Barley,North,Rabi,446.42,14.46,31.21,5.6,0.2,27,B,6.2,Transit,90.23,Low,7.22,13.68,"₹ 3,223.15","₹ 6,107.03","₹ 2,883.87",47.22%,27.68
BATCH00017,Barley,South,Kharif,329.26,12.58,34.57,2.2,0.1,2,A,2.76,Farm,85.32,Medium,9.72,13.39,"₹ 3,200.41","₹ 4,408.79","₹ 1,208.38",27.41%,9.09
BATCH00018,Barley,North,Kharif,388.35,13.29,27.1,0.2,0.8,8,B,6.05,Farm,89.78,Medium,9.2,8.73,"₹ 3,572.82","₹ 3,390.30",-₹ 182.52,-5.38%,23.50
BATCH00019,Maize,West,Rabi,623.58,8.34,32.25,1.2,1.4,19,A,4.18,Warehouse,88.34,High,3.76,12.45,"₹ 2,344.66","₹ 7,763.57","₹ 5,418.91",69.80%,26.07
BATCH00020,Rice,East,Rabi,484.41,14.39,31.71,4.4,0.1,9,A,0.83,Transit,60.27,Medium,4.86,9.27,"₹ 2,354.23","₹ 4,490.48","₹ 2,136.25",47.57%,4.02
BATCH00021,Wheat,East,Kharif,445.17,8.81,30.95,0.2,1.8,26,C,4.33,Farm,74.98,High,8.83,13.4,"₹ 3,930.85","₹ 5,965.28","₹ 2,034.43",34.10%,19.28
BATCH00022,Rice,South,Rabi,516,12.35,32.81,9,0.8,28,A,9.24,Warehouse,98.02,High,8.77,10.31,"₹ 4,525.32","₹ 5,319.96",₹ 794.64,14.94%,47.68
BATCH00023,Barley,North,Rabi,550.18,10.93,25.19,6,1.2,4,A,3.28,Transit,67.18,Low,4.93,12.65,"₹ 2,712.39","₹ 6,959.78","₹ 4,247.39",61.03%,18.05
BATCH00024,Barley,North,Rabi,611.74,13.45,21.69,0.2,3.6,16,A,3.57,Transit,98.52,High,8.11,5.79,"₹ 4,961.21","₹ 3,541.97","-₹ 1,419.24",-40.07%,21.84
BATCH00025,Rice,South,Kharif,644.85,9.33,22.39,5.4,0.1,19,B,1.13,Transit,79.16,High,7.7,10.9,"₹ 4,965.35","₹ 7,028.87","₹ 2,063.52",29.36%,7.29
BATCH00026,Rice,East,Kharif,464.02,14.92,24.49,0.9,2.3,10,C,6.34,Transit,73.08,High,6.31,10.5,"₹ 2,927.97","₹ 4,872.21","₹ 1,944.24",39.90%,29.42
BATCH00027,Rice,West,Kharif,367.4,15.95,30,3.7,0.1,6,C,8.57,Warehouse,82.89,High,4.41,11.1,"₹ 1,620.23","₹ 4,078.14","₹ 2,457.91",60.27%,31.49
BATCH00028,Barley,South,Rabi,458.65,9.63,36.81,1.1,0.5,16,A,3.85,Farm,90.79,Low,9.22,11.96,"₹ 4,228.75","₹ 5,485.45","₹ 1,256.70",22.91%,17.66
BATCH00029,Barley,West,Rabi,526.03,9.04,34.03,1.2,1.9,10,A,2.78,Transit,69.71,Low,7.74,14.18,"₹ 4,071.47","₹ 7,459.11","₹ 3,387.63",45.42%,14.62
BATCH00030,Wheat,East,Kharif,403.62,9.46,35.78,2,2.4,13,B,9.59,Transit,51.65,High,4.18,12.86,"₹ 1,687.13","₹ 5,190.55","₹ 3,503.42",67.50%,38.71
BATCH00031,Wheat,North,Kharif,404.28,16.77,27.02,3,0.7,9,A,7.58,Farm,85.44,Medium,7.93,7.2,"₹ 3,205.94","₹ 2,910.82",-₹ 295.12,-10.14%,30.64
BATCH00032,Barley,East,Kharif,534.38,13.28,28.09,0.1,0.9,7,C,5.89,Transit,97.81,Medium,8.19,13.26,"₹ 4,376.57","₹ 7,085.88","₹ 2,709.31",38.24%,31.47
BATCH00033,Rice,South,Rabi,495.13,12.67,27.87,1.8,1.2,4,C,3.4,Transit,81.25,High,9.21,6.22,"₹ 4,560.15","₹ 3,079.71","-₹ 1,480.44",-48.07%,16.83
BATCH00034,Rice,North,Kharif,503.28,9.07,23.84,0.4,1.8,19,B,2.6,Farm,59.42,Low,4.56,11.22,"₹ 2,294.96","₹ 5,646.80","₹ 3,351.84",59.36%,13.09
BATCH00035,Wheat,South,Kharif,424.15,14.5,21.22,0.8,0.1,26,B,7.3,Farm,62.41,High,9.92,13.83,"₹ 4,207.57","₹ 5,865.99","₹ 1,658.43",28.27%,30.96
BATCH00036,Barley,South,Rabi,476.96,16.68,31.82,0.9,1.7,4,C,5.46,Transit,95.49,High,4.07,6.01,"₹ 1,941.23","₹ 2,866.53",₹ 925.30,32.28%,26.04
BATCH00037,Wheat,East,Rabi,407.58,16.28,39.78,1.3,0.7,19,B,5.45,Farm,50.68,Low,7.2,13.5,"₹ 2,934.58","₹ 5,502.33","₹ 2,567.75",46.67%,22.21
BATCH00038,Wheat,South,Rabi,589.02,14.26,23.34,0.8,0.6,28,A,1.2,Warehouse,77.44,Medium,7.6,12.99,"₹ 4,476.55","₹ 7,651.37","₹ 3,174.82",41.49%,7.07
BATCH00039,Maize,East,Kharif,603.52,8.75,20.93,0.2,0.6,19,A,5.37,Warehouse,57.93,High,5.93,10.04,"₹ 3,578.87","₹ 6,059.34","₹ 2,480.47",40.94%,32.41
BATCH00040,Maize,North,Rabi,315.38,9.12,35.59,0.3,0.7,12,B,8.32,Transit,64.14,Low,6.33,8.09,"₹ 1,996.36","₹ 2,551.42",₹ 555.07,21.76%,26.24
BATCH00041,Maize,East,Rabi,407.05,8.49,25.05,0.1,2.9,13,C,9.49,Transit,65.35,Low,9.24,9.05,"₹ 3,761.14","₹ 3,683.80",-₹ 77.34,-2.10%,38.63
BATCH00042,Rice,North,Kharif,350.35,10.57,36.59,1.3,0.8,25,B,1.51,Farm,60.96,High,7.52,14.69,"₹ 2,634.63","₹ 5,146.64","₹ 2,512.01",48.81%,5.29
BATCH00043,Barley,East,Rabi,435,9.36,34.08,6.2,3.1,4,C,6.5,Farm,89.62,Low,6.48,7.02,"₹ 2,818.80","₹ 3,053.70",₹ 234.90,7.69%,28.28
BATCH00044,Barley,West,Kharif,491.66,10.6,38.91,0.2,0.2,25,B,5.9,Transit,66.61,High,3.9,10.8,"₹ 1,917.47","₹ 5,309.93","₹ 3,392.45",63.89%,29.01
BATCH00045,Barley,West,Kharif,355.04,11.85,28.18,5.8,1.3,28,B,8.96,Transit,67.27,Medium,3.05,5.83,"₹ 1,082.87","₹ 2,069.88",₹ 987.01,47.68%,31.81
BATCH00046,Barley,South,Rabi,407.81,17.43,33.24,2.6,1.7,10,B,7.64,Warehouse,72.65,High,3.87,7.18,"₹ 1,578.22","₹ 2,928.08","₹ 1,349.85",46.10%,31.16
BATCH00047,Maize,East,Rabi,399.6,14.1,29.3,2,1.1,21,A,9.67,Farm,95.11,Medium,9.69,12.63,"₹ 3,872.12","₹ 5,046.95","₹ 1,174.82",23.28%,38.64
BATCH00048,Rice,East,Rabi,520.73,16.35,32.61,2.1,0.9,7,A,9.62,Transit,84.41,Low,8.35,8.03,"₹ 4,348.10","₹ 4,181.46",-₹ 166.63,-3.99%,50.09
BATCH00049,Rice,North,Rabi,506.93,15.1,28.99,3.5,0.8,5,C,2.64,Transit,53.09,High,9.77,14.86,"₹ 4,952.71","₹ 7,532.98","₹ 2,580.27",34.25%,13.38
BATCH00050,Maize,South,Rabi,427.83,9.13,23.77,0.2,2,17,B,7.39,Farm,51.96,Low,3.25,10.01,"₹ 1,390.45","₹ 4,282.58","₹ 2,892.13",67.53%,31.62
BATCH00051,Rice,East,Rabi,517.68,15.36,30.16,1.4,1.7,18,A,5.54,Farm,78.32,High,7.76,10.17,"₹ 4,017.20","₹ 5,264.81","₹ 1,247.61",23.70%,28.68
BATCH00052,Maize,South,Kharif,445.33,10.75,30.57,2.4,0.1,11,B,2.54,Transit,94.35,Low,3.31,5.36,"₹ 1,474.04","₹ 2,386.97",₹ 912.93,38.25%,11.31
BATCH00053,Barley,West,Kharif,472.83,14.39,36.21,1.8,1.9,15,C,2.35,Transit,66.16,Medium,8.47,14.57,"₹ 4,004.87","₹ 6,889.13","₹ 2,884.26",41.87%,11.11
BATCH00054,Maize,East,Rabi,667.35,11.41,34.71,3.6,0.5,21,A,1.27,Transit,62.39,High,5.67,6.74,"₹ 3,783.87","₹ 4,497.94",₹ 714.06,15.88%,8.48
BATCH00055,Barley,East,Kharif,634.05,17.98,33.28,0.2,0.3,22,C,8.06,Farm,87.41,Low,3.67,10.38,"₹ 2,326.96","₹ 6,581.44","₹ 4,254.48",64.64%,51.10
BATCH00056,Barley,South,Rabi,370.04,10.64,22.27,2.3,2,7,A,3.58,Transit,80.1,High,6.98,8.96,"₹ 2,582.88","₹ 3,315.56",₹ 732.68,22.10%,13.25
BATCH00057,Wheat,East,Kharif,582.97,10.79,34.41,1.5,0.6,18,B,8.64,Transit,78.25,High,4.96,9.16,"₹ 2,891.53","₹ 5,340.01","₹ 2,448.47",45.85%,50.37
BATCH00058,Maize,South,Kharif,581.14,17.31,30.01,1,1.7,26,C,6.28,Transit,57.47,Medium,7.62,11.43,"₹ 4,428.29","₹ 6,642.43","₹ 2,214.14",33.33%,36.50
BATCH00059,Wheat,East,Kharif,385.17,8.25,37.88,0.8,0.3,25,A,6.9,Warehouse,58.8,Low,7.61,11.62,"₹ 2,931.14","₹ 4,475.68","₹ 1,544.53",34.51%,26.58
BATCH00060,Maize,North,Rabi,581.88,14.97,38.4,1.9,0,6,A,3.27,Warehouse,64.09,High,7.94,6.54,"₹ 4,620.13","₹ 3,805.50",-₹ 814.63,-21.41%,19.03
BATCH00061,Maize,South,Kharif,653.79,15.25,21.1,4.4,0.7,18,B,4.84,Farm,60.34,High,9.95,10,"₹ 6,505.21","₹ 6,537.90",₹ 32.69,0.50%,31.64
BATCH00062,Wheat,East,Rabi,387.75,16.36,36.41,1.4,0.1,16,C,4.42,Transit,98.57,High,5.71,12.9,"₹ 2,214.05","₹ 5,001.98","₹ 2,787.92",55.74%,17.14
BATCH00063,Wheat,West,Kharif,408.25,17.74,20.75,3.5,1.4,2,C,2.74,Transit,50.93,High,6.26,9.43,"₹ 2,555.65","₹ 3,849.80","₹ 1,294.15",33.62%,11.19
BATCH00064,Maize,East,Kharif,601.77,17.76,27.34,1,0.3,19,C,8.41,Farm,81.3,High,8.63,6.66,"₹ 5,193.28","₹ 4,007.79","-₹ 1,185.49",-29.58%,50.61
BATCH00065,Rice,West,Kharif,527.15,8.65,30.85,0.2,0.6,1,B,6.41,Farm,75.88,Low,7.05,8.13,"₹ 3,716.41","₹ 4,285.73",₹ 569.32,13.28%,33.79
BATCH00066,Barley,West,Kharif,555.15,16.22,22.96,0.1,0.1,25,A,0.86,Farm,66.16,High,3.26,7.12,"₹ 1,809.79","₹ 3,952.67","₹ 2,142.88",54.21%,4.77
BATCH00067,Wheat,North,Kharif,534.06,14.46,34.93,0.1,0.3,26,A,8.29,Transit,94.38,High,8.9,6.26,"₹ 4,753.13","₹ 3,343.22","-₹ 1,409.92",-42.17%,44.27
BATCH00068,Barley,South,Rabi,539.07,14.47,20.17,1,1.5,11,C,1.51,Warehouse,83.51,High,3.36,8.78,"₹ 1,811.28","₹ 4,733.03","₹ 2,921.76",61.73%,8.14
BATCH00069,Rice,East,Rabi,367.35,9.28,23.37,0.8,0.2,20,A,4.34,Farm,99.92,Low,4.2,10.41,"₹ 1,542.87","₹ 3,824.11","₹ 2,281.24",59.65%,15.94
BATCH00070,Rice,North,Kharif,604.73,14.5,31.62,2.5,1,5,C,5.93,Transit,58.43,High,3.71,5.73,"₹ 2,243.55","₹ 3,465.10","₹ 1,221.55",35.25%,35.86
BATCH00071,Rice,East,Kharif,616.96,17.82,34.29,2.7,2.5,16,B,0.57,Farm,54.39,High,3.55,11.04,"₹ 2,190.21","₹ 6,811.24","₹ 4,621.03",67.84%,3.52
BATCH00072,Wheat,West,Kharif,477.06,17.12,38.33,0.1,1.1,23,B,6.7,Transit,56.97,Medium,3.18,14.93,"₹ 1,517.05","₹ 7,122.51","₹ 5,605.46",78.70%,31.96
BATCH00073,Rice,South,Kharif,495.65,12.39,34.11,0.5,1.7,1,B,6.77,Farm,63.46,Medium,3.39,14.64,"₹ 1,680.25","₹ 7,256.32","₹ 5,576.06",76.84%,33.56
BATCH00074,Wheat,East,Rabi,346.89,8.4,33.44,0.6,0.1,19,C,6.7,Transit,70.84,High,6.1,13.29,"₹ 2,116.03","₹ 4,610.17","₹ 2,494.14",54.10%,23.24
BATCH00075,Rice,East,Kharif,551.43,11.62,27.89,1.6,0.3,14,A,2.05,Farm,93.13,High,4.77,7.66,"₹ 2,630.32","₹ 4,223.95","₹ 1,593.63",37.73%,11.30
BATCH00076,Barley,West,Rabi,557.21,16.26,20.03,0.3,2.2,3,B,2.93,Warehouse,64.18,Medium,3.89,5.22,"₹ 2,167.55","₹ 2,908.64",₹ 741.09,25.48%,16.33
BATCH00077,Barley,East,Kharif,493.78,15.01,22.4,0.3,1.3,2,C,2.85,Farm,95.76,Low,7.61,13.34,"₹ 3,757.67","₹ 6,587.03","₹ 2,829.36",42.95%,14.07
BATCH00078,Maize,East,Rabi,612.44,12.59,30.69,5.8,1,24,C,9.62,Farm,73.15,Low,4.58,5.56,"₹ 2,804.98","₹ 3,405.17",₹ 600.19,17.63%,58.92
BATCH00079,Barley,West,Kharif,466.59,8.55,33.5,3.3,1.1,5,B,1.14,Warehouse,82.35,Medium,3.13,7.06,"₹ 1,460.43","₹ 3,294.13","₹ 1,833.70",55.67%,5.32
BATCH00080,Maize,North,Kharif,556.46,12.27,28.35,0.4,0.5,17,B,4.57,Farm,63.22,High,5.93,10.44,"₹ 3,299.81","₹ 5,809.44","₹ 2,509.63",43.20%,25.43
BATCH00081,Barley,West,Rabi,398.03,12.69,34.61,1,0,28,B,8.78,Warehouse,57.8,Medium,5.17,6.78,"₹ 2,057.82","₹ 2,698.64",₹ 640.83,23.75%,34.95
BATCH00082,Wheat,North,Kharif,497.64,17.29,30.44,0.9,1.5,18,A,7.81,Transit,93.47,Low,5.23,13.34,"₹ 2,602.66","₹ 6,638.52","₹ 4,035.86",60.79%,38.87
BATCH00083,Barley,South,Kharif,482.56,14.41,21.48,3.1,1.1,1,A,8.31,Warehouse,55.48,Medium,6.12,12.77,"₹ 2,953.27","₹ 6,162.29","₹ 3,209.02",52.08%,40.10
BATCH00084,Maize,North,Kharif,522.53,11.12,23.84,1.4,0.6,15,C,9.74,Warehouse,88.7,Low,7.68,12.56,"₹ 4,013.03","₹ 6,562.98","₹ 2,549.95",38.85%,50.89
BATCH00085,Maize,North,Rabi,463.05,13.25,36.8,0.3,2.3,22,B,4.18,Transit,79.05,High,7.32,13.16,"₹ 3,389.53","₹ 6,093.74","₹ 2,704.21",44.38%,19.36
BATCH00086,Rice,South,Kharif,486.85,8.66,34.5,2.7,0.4,9,B,3.44,Warehouse,93.06,High,9.56,7.2,"₹ 4,654.29","₹ 3,505.32","-₹ 1,148.97",-32.78%,16.75
BATCH00087,Wheat,North,Kharif,582.6,17.73,37.9,1,0.3,27,A,0.79,Warehouse,85.89,High,6.62,12.29,"₹ 3,856.81","₹ 7,160.15","₹ 3,303.34",46.14%,4.60
BATCH00088,Barley,West,Rabi,456.32,11.6,22.35,0.6,2.1,23,B,1.93,Transit,64.08,Low,6.31,8.55,"₹ 2,879.38","₹ 3,901.54","₹ 1,022.16",26.20%,8.81
BATCH00089,Rice,North,Rabi,339.34,12.78,39.8,0.9,1.6,5,C,5.84,Farm,78.72,Medium,4.49,11.67,"₹ 1,523.64","₹ 3,960.10","₹ 2,436.46",61.53%,19.82
BATCH00090,Barley,South,Rabi,674.96,11.55,24.19,1.4,0.7,28,B,2,Farm,50.65,High,8.29,6.22,"₹ 5,595.42","₹ 4,198.25","-₹ 1,397.17",-33.28%,13.50
BATCH00091,Barley,West,Kharif,638.15,14.83,20.24,0.8,0.1,13,A,7.49,Warehouse,73.76,Low,3.99,12.06,"₹ 2,546.22","₹ 7,696.09","₹ 5,149.87",66.92%,47.80
BATCH00092,Rice,South,Kharif,370.77,14.62,39.95,0.6,0.2,19,C,0.85,Farm,54.3,High,6.44,14.72,"₹ 2,387.76","₹ 5,457.73","₹ 3,069.98",56.25%,3.15
BATCH00093,Rice,South,Kharif,568.97,15.15,25.62,1,1.1,28,C,2.97,Farm,71.45,Medium,5.95,5.44,"₹ 3,385.37","₹ 3,095.20",-₹ 290.17,-9.38%,16.90
BATCH00094,Rice,East,Rabi,449.7,10.68,33.36,0,0.5,28,B,7.11,Warehouse,55.48,High,7.61,5.94,"₹ 3,422.22","₹ 2,671.22",-₹ 751.00,-28.11%,31.97
BATCH00095,Rice,East,Kharif,526.35,11.16,23.53,3,1.8,24,C,2.93,Transit,97.77,Low,9.42,6.24,"₹ 4,958.22","₹ 3,284.42","-₹ 1,673.79",-50.96%,15.42
BATCH00096,Rice,South,Kharif,529.42,9.25,31.6,0.4,3,10,B,7.42,Farm,76.15,Low,9.63,9.31,"₹ 5,098.31","₹ 4,928.90",-₹ 169.41,-3.44%,39.28
BATCH00097,Barley,South,Rabi,476.56,14.56,38.08,0.1,1.6,20,B,9.96,Warehouse,95.66,High,4.17,7.91,"₹ 1,987.26","₹ 3,769.59","₹ 1,782.33",47.28%,47.47
BATCH00098,Rice,South,Rabi,421.62,8.4,26.4,2.1,0.5,25,A,8.07,Transit,51.12,High,4.83,13.07,"₹ 2,036.42","₹ 5,510.57","₹ 3,474.15",63.05%,34.02
BATCH00099,Wheat,East,Rabi,430.95,13.98,33.41,3,1.6,21,C,3.75,Farm,81.88,Low,8.68,9.74,"₹ 3,740.65","₹ 4,197.45",₹ 456.81,10.88%,16.16
BATCH00100,Maize,East,Rabi,408.38,16.7,23.76,3.4,0.4,14,B,9.06,Transit,65.35,High,6.63,9.85,"₹ 2,707.56","₹ 4,022.54","₹ 1,314.98",32.69%,37.00
BATCH00101,Rice,North,Rabi,416.82,16.91,32.5,1.4,0.2,22,B,0.99,Warehouse,71.59,High,6.17,12.17,"₹ 2,571.78","₹ 5,072.70","₹ 2,500.92",49.30%,4.13
BATCH00102,Rice,North,Kharif,493.28,12.49,26.73,0.5,0,21,B,7.39,Transit,93.65,High,7.97,8.62,"₹ 3,931.44","₹ 4,252.07",₹ 320.63,7.54%,36.45
BATCH00103,Barley,South,Rabi,428.42,12.59,24.22,2.7,0.5,26,C,0.72,Transit,99,Medium,7.21,8.53,"₹ 3,088.91","₹ 3,654.42",₹ 565.51,15.47%,3.08
BATCH00104,Rice,West,Kharif,568.21,8.77,26.26,2.4,2.3,12,C,2.16,Warehouse,62.32,Medium,9.79,12.57,"₹ 5,562.78","₹ 7,142.40","₹ 1,579.62",22.12%,12.27
BATCH00105,Rice,West,Kharif,648.72,14.71,23.58,0.6,0.3,11,C,9.88,Farm,97.41,Medium,7.09,12.8,"₹ 4,599.42","₹ 8,303.62","₹ 3,704.19",44.61%,64.09
BATCH00106,Rice,East,Rabi,441.99,16.21,38.04,4.7,0.2,23,B,3.93,Farm,84.44,High,6.26,5.14,"₹ 2,766.86","₹ 2,271.83",-₹ 495.03,-21.79%,17.37
BATCH00107,Barley,East,Rabi,523.94,10.45,27.94,0.2,3.5,7,C,8.29,Transit,97.57,Low,6.8,6.44,"₹ 3,562.79","₹ 3,374.17",-₹ 188.62,-5.59%,43.43
BATCH00108,Rice,East,Rabi,549.97,12.21,24.91,8.1,0,17,B,4.07,Transit,78.12,High,8.66,7.13,"₹ 4,762.74","₹ 3,921.29",-₹ 841.45,-21.46%,22.38
BATCH00109,Maize,South,Kharif,547.2,16.39,28.97,3.9,1.5,18,C,8.48,Transit,98.04,High,7.29,8.52,"₹ 3,989.09","₹ 4,662.14",₹ 673.06,14.44%,46.40
BATCH00110,Barley,West,Rabi,507.6,16.77,26.41,2.3,0.4,7,C,9.67,Transit,94.62,Medium,7.53,7.91,"₹ 3,822.23","₹ 4,015.12",₹ 192.89,4.80%,49.08
BATCH00111,Maize,North,Rabi,574.27,10.43,34.89,5.6,0,24,B,4.64,Farm,56.43,Low,9.8,11.69,"₹ 5,627.85","₹ 6,713.22","₹ 1,085.37",16.17%,26.65
BATCH00112,Barley,South,Rabi,548.22,13.51,39.42,2.6,2.5,20,C,5.81,Warehouse,65.54,Medium,7.33,13.28,"₹ 4,018.45","₹ 7,280.36","₹ 3,261.91",44.80%,31.85
BATCH00113,Rice,North,Rabi,376.23,9.92,28.76,0.4,0.2,6,B,6.47,Warehouse,62.15,Low,5.66,6.92,"₹ 2,129.46","₹ 2,603.51",₹ 474.05,18.21%,24.34
BATCH00114,Maize,North,Rabi,586.92,9.02,37.22,1.2,0.8,11,C,9.38,Warehouse,78.6,High,7.84,10.63,"₹ 4,601.45","₹ 6,238.96","₹ 1,637.51",26.25%,55.05
BATCH00115,Barley,South,Kharif,588.73,17.11,31.32,0.1,0.3,12,C,2.94,Transit,90.14,High,7.62,8.68,"₹ 4,486.12","₹ 5,110.18",₹ 624.05,12.21%,17.31
BATCH00116,Wheat,North,Kharif,423.67,16.21,23.14,1,0.1,26,C,6.31,Transit,87.97,High,3.1,10.06,"₹ 1,313.38","₹ 4,262.12","₹ 2,948.74",69.18%,26.73
BATCH00117,Rice,West,Kharif,503.79,15.6,33.81,2.7,0.1,16,C,3.58,Warehouse,86.34,Low,6.27,11.21,"₹ 3,158.76","₹ 5,647.49","₹ 2,488.72",44.07%,18.04
BATCH00118,Barley,North,Rabi,568.33,8.49,30.27,1,0.1,19,A,2.56,Farm,68.76,Medium,8.2,13.94,"₹ 4,660.31","₹ 7,922.52","₹ 3,262.21",41.18%,14.55
BATCH00119,Wheat,West,Rabi,479.07,16.44,33.01,0.8,0.1,23,B,1.31,Warehouse,56.98,Medium,6.49,6.92,"₹ 3,109.16","₹ 3,315.16",₹ 206.00,6.21%,6.28
BATCH00120,Barley,West,Rabi,607.3,12.38,37.79,1.8,1.4,27,A,6.4,Farm,60.53,Medium,8.46,5.87,"₹ 5,137.76","₹ 3,564.85","-₹ 1,572.91",-44.12%,38.87
BATCH00121,Wheat,West,Kharif,736.39,11.42,28.81,4.1,0.7,19,C,8.88,Transit,87.08,Low,6.16,11.27,"₹ 4,536.16","₹ 8,299.12","₹ 3,762.95",45.34%,65.39
BATCH00122,Rice,East,Rabi,421.4,13.46,38.02,0.1,0.4,11,C,3.84,Warehouse,57.38,Low,9.88,8.94,"₹ 4,163.43","₹ 3,767.32",-₹ 396.12,-10.51%,16.18
BATCH00123,Maize,North,Rabi,361.9,8.91,35.01,1,0.5,16,B,5.75,Warehouse,61.15,High,5.05,6.63,"₹ 1,827.60","₹ 2,399.40",₹ 571.80,23.83%,20.81
BATCH00124,Wheat,South,Rabi,530.38,15.57,29.77,0.3,2.6,23,B,6.6,Transit,71.23,Medium,3.64,6.17,"₹ 1,930.58","₹ 3,272.44","₹ 1,341.86",41.00%,35.01
BATCH00125,Barley,South,Kharif,572.16,13.82,32.06,2.4,2.4,28,B,4.44,Farm,53.61,Low,6.01,10.59,"₹ 3,438.68","₹ 6,059.17","₹ 2,620.49",43.25%,25.40
BATCH00126,Rice,North,Rabi,476.91,9.87,26.51,0.2,1.3,27,B,9.08,Warehouse,60.63,Medium,6.79,8,"₹ 3,238.22","₹ 3,815.28",₹ 577.06,15.13%,43.30
BATCH00127,Wheat,East,Kharif,645.33,9.88,39.67,2.2,2.2,12,C,3.95,Warehouse,57.49,Medium,5.44,14.97,"₹ 3,510.60","₹ 9,660.59","₹ 6,149.99",63.66%,25.49
BATCH00128,Barley,East,Rabi,366.14,9.84,33.35,0.7,0.4,27,B,1.69,Farm,97.57,Low,4.7,9.06,"₹ 1,720.86","₹ 3,317.23","₹ 1,596.37",48.12%,6.19
BATCH00129,Barley,West,Kharif,569.29,8.57,20.88,0.4,0.5,8,A,1.87,Warehouse,59.58,Low,7.7,7.12,"₹ 4,383.53","₹ 4,053.34",-₹ 330.19,-8.15%,10.65
